Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
"Iran, Islamic Rep.",IRN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,28,28,27,27,27,27,8,10,10,15,15,12
Iraq,IRQ,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32,32,31,32,32,32,32,32,29,29,29
Ireland,IRL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,18,18,18,13,13,13,13,13,13,10,10,6
Isle of Man,IMN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,19,19,19,19,19,19,19,19,19,20,13,13
Italy,ITA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,23,13,13,13,13,10,10,6,6,6,6,5
Jamaica,JAM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,31,31,8,8,8,8,8,8,7,7,6,15
Japan,JPN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,31,31,30,22,22,22,22,22,11,11,10.7,10.7
Jordan,JOR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,79,26,16,16,13,13,12,12,12,12,12,12
Kazakhstan,KAZ,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,26,26,25,21,21,21,20,19,19,19,12,10
Kenya,KEN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,60,47,54,54,44,31,31,31,33,32,32,30
Kiribati,KIR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,21,31,31,31,31,31,31,31,31,31,31,31
"Korea, Dem. People’s Rep.",PRK,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,17,17,17,17,17,17,14,14,7,4,4,4
Kosovo,XKX,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52,58,58,52,30,11
Kuwait,KWT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,35,35,35,35,35,35,35,35,32,32,32,31
Kyrgyz Republic,KGZ,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,21,21,21,21,21,15,11,10,10,10,8,8
Lao PDR,LAO,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,153,153,153,123,93,93,93,93,93,92,92,92
Latin America & Caribbean,LCN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,75.2857142857143,69.0454545454545,75.4516129032258,70.6774193548387,64.921875,64,61.703125,57,52.9848484848485,53.1060606060606,34.2242424242424,29.3151515151515
Latin America & Caribbean (excluding high income),LAC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,79.875,73.6470588235294,84.9565217391304,80.304347826087,74.0869565217391,72.8260869565217,68.9347826086957,63,62.6521739130435,62.7826086956522,35.9086956521739,29.9086956521739
Latvia,LVA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,16,16,16,16,16,15.5,15.5,15.5,15.5,15.5,12.5,12.5
Least developed countries: UN classification,LDC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,66.6363636363636,65.5131578947368,69.1744186046512,64.7840909090909,60.4431818181818,55.0340909090909,52.7613636363636,47.9431818181818,37.4545454545455,36.3369565217391,32.3,28.8695652173913
Lebanon,LBN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,46,46,46,46,46,11,9,9,9,9,9,9
Lesotho,LSO,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,138,138,103,73,73,39,39,39,39,29,29,29
Liberia,LBR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68,68,32,20,20,5.5,5.5,4.5,4.5
Libya,LBY,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35,35,35
Liechtenstein,LIE,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,26,26,26,26,26,26,26,22,22,19.5,6.5,3.5
Low & middle income,LMY,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,56.88,54.3899082568807,57.6138211382114,53.308,49.164,45.228,41.9126984126984,39.1547619047619,35.0079365079365,34.1976744186046,27.577519379845,24.4302325581395
Low income,LIC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,66.5909090909091,57.375,62.0740740740741,58.6785714285714,54.0357142857143,52.8571428571429,50.2142857142857,44.75,35.875,33.0172413793103,28.5689655172414,27.1379310344828
Lower middle income,LMC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,55.6,57.2111111111111,54.0102040816327,49.969387755102,45.7142857142857,41.265306122449,38.44,35.62,31.16,30.7745098039216,27.8078431372549,23.1411764705882
Luxembourg,LUX,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29,25,25,23,17.5,17.5,17.5,18.5,18.5
"Macao SAR, China",MAC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Macedonia, FYR",MKD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,48,48,48,18,15,9,4,3,3,2,2,2
Madagascar,MDG,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,67,47,42,20,7,7,8,8,7,9,8,8
Malawi,MWI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,43,37,37,37,37,37,36,36,36,37,40,38
Malaysia,MYS,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,37,37,37,37,31,20,18,17,5,6,6,5.5
Maldives,MDV,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,9,9,9,9,9,9,9,9,9,9,9,9
Mali,MLI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,33,33,27,42,25,25,8,8,8,8,11,11
Malta,MLT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.5,39.5,39.5,34.5
Marshall Islands,MHL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,22,17,17,17,17,17,17,17,17,17,17,17
Mauritania,MRT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,82,82,82,82,50,19,19,19,19,19,19,9
Mauritius,MUS,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46,46,46,7,6,6,6,6,6,6,6
Mayotte,MYT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mexico,MEX,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,30,30,30,8,7.5,9,8,6,6,6,6.3,6.3
"Micronesia, Fed. Sts.",FSM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,36,16,16,16,16,16,16,16,16,16,16,16
Middle East & North Africa,MEA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,39.8571428571429,37.375,35.7647058823529,34.4705882352941,29.6315789473684,19.5789473684211,18.1052631578947,18.2368421052632,18.75,20.7619047619048,19.3571428571429,18.6428571428571
Middle East & North Africa (excluding high income),MNA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,41.7777777777778,37.8181818181818,36.0833333333333,35.75,34.75,21,19,19,18.9166666666667,22.4615384615385,20.6923076923077,20
Middle income,MIC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,54.1410256410256,53.5470588235294,56.359375,51.7577319587629,47.7577319587629,43.0257731958763,39.5408163265306,37.5561224489796,34.7602040816327,34.54,27.29,23.645
Moldova,MDA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,42,30,30,30,23,15,10,10,9,9,7,6
Monaco,MCO,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,20,13,13,13,13,13,13,13,13,12,11,11
Montenegro,MNE,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,24,21,12,10,10,10,10,10
Morocco,MAR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,35,12,12,12,12,12,12,12,12,12,11,11
Mozambique,MOZ,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,153,167,167,112,29,26,26,13,13,13,13,13
Myanmar,MMR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,72,72
Namibia,NAM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,85,85,95,95,99,66,66,66,66,66,66,66
Nepal,NPL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,31,31,31,31,31,31,31,31,29,29,17,17
Netherlands,NLD,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,9,9,9,8,8,8,8,8,8,5,4,4
New Caledonia,NCL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,12,12,12,12,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Nicaragua,NIC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,47,40,40,40,39,39,39,39,39,39,36,13
Niger,NER,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,35,35,35,31,23,19,17,17,17,17,17,15
Nigeria,NGA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,36,36,35,35,27,25,25,25,28,28,30.8,30.8
North America,NAC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5,5.6,5.3
Northern Mariana Islands,MNP,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,18,18,8,7,8,6,6,6,6,6,6,5
OECD members,OED,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,36.25,30.1818181818182,23.5454545454545,19.8823529411765,17.2647058823529,14.5294117647059,13.9705882352941,13.1323529411765,10.8382352941176,10.4558823529412,10.2558823529412,8.91470588235294
Oman,OMN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,35,35,35,42,39,13,11,11,7,7,7,7
Pakistan,PAK,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,24,24,22,24,23,23,19,19,19,19,19,19
Palau,PLW,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,33,24,24,28,28,28,28,28,28,28,28,28
Panama,PAN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,18,18,18,18,18,12,12,9,8,7,6,6
Papua New Guinea,PNG,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,52,52,52,52,52,52,52,52,52,52,53,53
Paraguay,PRY,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,72,72,72,72,34,35,35,35,35,35,35,35
Peru,PER,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,98,98,104,74,74,66.5,40.5,27,26,26,26,26
Philippines,PHL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,49,49,47,47,47,41,42,37,36,36,36,34
Poland,POL,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,56,56,46,31,31,31,32,32,32,32,30,30
Portugal,PRT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,78,78,48,6.5,5.5,4.5,4.5,4.5,3.5,3.5,2.5,2.5
Puerto Rico,PRI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,7,7,7,7,7,6,6,6,6
Qatar,QAT,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,9.5,8.5,8.5,8.5,8.5
Romania,ROU,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,29,28,11,11,9,9,9,9,13.5,9.5,8.5,8
Russian Federation,RUS,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,43,30,29,29,29,29,29,29,29,18,12.9,11.2
Rwanda,RWA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,18,18,18,16,16,14,7,7,7,8,7,6.5
Samoa,WSM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,42,42,35,35,35,35,9,9,9,9,9,9
San Marino,SMR,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,40,40
Sao Tome and Principe,STP,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,144,144,144,144,144,144,144,10,5,5,4
Saudi Arabia,SAU,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,74,74,67,42,19,19,20,20,20,20,20.5,20.5
Senegal,SEN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,57,57,57,57,58,9,9,9,6,6,6,6
Serbia,SRB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,56,56,23,23,23,23,13,13,13,12,12,12
Seychelles,SYC,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39,39,39,39,39,39,39,39,38,38
Sierra Leone,SLE,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,26,26,26,26,26,17,12,12,12,12,12,12
Singapore,SGP,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,8,8,6,6,5,3.5,2.5,2.5,2.5,2.5,2.5,2.5
Sint Maarten (Dutch part),SXM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,103,52,27,27,27,17.5,17.5,17.5,17.5,13.5,18.5,11.5
Slovenia,SVN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,60,60,60,60,60,19,6,6,6,6,6,6
Solomon Islands,SLB,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,55,55,55,55,55,55,55,55,41,7,9,9
Somalia,SOM,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,36,36,33,33,31,22,22,22,19,19,19,19
South Asia,SAS,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,46,39.1875,37.5625,32.3125,32.6875,32.1875,28.5625,25.4375,23.5625,20.3125,17.6125,15.9875
