id,name,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
ROU,Romania,1.40E+11,1.46E+11,1.57E+11,1.68E+11,1.82E+11,1.69E+11,1.68E+11,1.70E+11,1.71E+11,1.77E+11,1.82E+11
RUS,Russian Federation,1.20E+12,1.28E+12,1.39E+12,1.50E+12,1.58E+12,1.46E+12,1.52E+12,1.59E+12,1.65E+12,1.67E+12,1.68E+12
RWA,Rwanda,3539806407,3872143261,4229614835,4554969822,5063249716,5381622837,5774003744,6223635958,6773807053,7092180173,7632576654
WSM,Samoa,589432568.7,613932286.9,626019434.4,665600400.6,672316885.5,639990059.6,643056627.7,680215939.8,682951112.7,669743802.8,677754925.5
STP,Sao Tome and Principe,138444610.3,148265553.2,161780916.9,167044628.8,180719189.1,185103945.1,197454053.1,206138480.6,212615301.9,222852291.5,236686252.5
SAU,Saudi Arabia,4.37E+11,4.62E+11,4.74E+11,4.83E+11,5.13E+11,5.03E+11,5.28E+11,5.81E+11,6.12E+11,6.29E+11,6.52E+11
SEN,Senegal,10296875907,10875828758,11143544923,11693867227,12124496741,12418294627,12937300245,13165141375,13745879495,14224953272,14838198265
SRB,Serbia,32780256764,34596422952,36293152225,38430368885,40492805121,39231060777,39460357731,40013381123,39607137114,40625727368,39881747973
SYC,Seychelles,718339327.3,783031253.3,856684174.3,945962968.2,925654158.7,915423405.1,969936525.3,1046438131,1115610241,1183102676,1222346015
SLE,Sierra Leone,1892470594,1974461587,2083567040,2251467572,2373039542,2483374322,2616610911,2742474775,3158830962,3813207065,3986966231
SGP,Singapore,1.59E+11,1.71E+11,1.86E+11,2.03E+11,2.06E+11,2.05E+11,2.36E+11,2.51E+11,2.61E+11,2.74E+11,2.84E+11
SVK,Slovak Republic,66487670526,70976227122,76975767929,85288825295,90090397692,85205207757,89501012916,92024135539,93549112293,94943598803,97384458775
SVN,Slovenia,42373104165,44069302645,46561862055,49794021536,51437289128,47426581432,48013606745,48325391228,47025721590,46514588314,47959461757
SST,Small states,2.67E+11,2.82E+11,3.09E+11,3.36E+11,3.57E+11,3.61E+11,3.87E+11,4.13E+11,4.27E+11,4.39E+11,4.52E+11
SLB,Solomon Islands,508900364.6,536488836.8,573756838.5,615755846.4,659440615,628263103.8,671585343.2,758411086.6,793757683.6,817684610.8,830010603.6
ZAF,South Africa,3.06E+11,3.22E+11,3.40E+11,3.59E+11,3.70E+11,3.64E+11,3.75E+11,3.88E+11,3.96E+11,4.06E+11,4.13E+11
SAS,South Asia,1.30E+12,1.41E+12,1.54E+12,1.67E+12,1.74E+12,1.87E+12,2.04E+12,2.17E+12,2.29E+12,2.43E+12,2.60E+12
TSA,South Asia (IDA & IBRD),1.30E+12,1.41E+12,1.54E+12,1.67E+12,1.74E+12,1.87E+12,2.04E+12,2.17E+12,2.29E+12,2.43E+12,2.60E+12
ESP,Spain,1.31E+12,1.36E+12,1.41E+12,1.47E+12,1.48E+12,1.43E+12,1.43E+12,1.42E+12,1.38E+12,1.35E+12,1.37E+12
LKA,Sri Lanka,39187357999,41633334151,44825899741,47872638203,50721102373,52516077579,56725745039,61493395363,67116707720,69395796205,72838326796
KNA,St. Kitts and Nevis,632920302.3,688436504.7,700911176.6,699673794.6,743696676.6,721236727.8,705015370.4,721926790,717591255.7,762224674.6,807676563
LCA,St. Lucia,1133922100,1128376652,1205477847,1217054873,1267894316,1263352430,1241892815,1244853121,1226820320,1227587245,1232151107
VCT,St. Vincent and the Grenadines,621398173.3,636858590,685822566,674975780,719976499.1,704863751.4,681225963,678369231.8,687735089.1,700336363.2,708405051.9
SSF,Sub-Saharan Africa,9.84E+11,1.04E+12,1.11E+12,1.19E+12,1.26E+12,1.29E+12,1.36E+12,1.42E+12,1.47E+12,1.54E+12,1.62E+12
SSA,Sub-Saharan Africa (excluding high income),9.83E+11,1.04E+12,1.11E+12,1.19E+12,1.25E+12,1.29E+12,1.36E+12,1.42E+12,1.47E+12,1.54E+12,1.62E+12
TSS,Sub-Saharan Africa (IDA & IBRD countries),9.84E+11,1.04E+12,1.11E+12,1.19E+12,1.26E+12,1.29E+12,1.36E+12,1.42E+12,1.47E+12,1.54E+12,1.62E+12
SDN,Sudan,43197815736,46433219017,51106401195,56994834761,61441550872,63433392297,65634109237,64342607849,64678192683,67520612417,69329767682
SUR,Suriname,3392146050,3547191376,3683479343,3871759941,4032182695,4153700530,4368398048,4623921716,4748321396,4887610614,4905381997
SWZ,Swaziland,3559359527,3772877545,3998954659,4176323326,4210638666,4276537222,4438778554,4538528118,4753462998,5079411623,5295089295
SWE,Sweden,4.39E+11,4.51E+11,4.73E+11,4.89E+11,4.86E+11,4.61E+11,4.88E+11,5.01E+11,5.00E+11,5.06E+11,5.19E+11
CHE,Switzerland,5.05E+11,5.21E+11,5.42E+11,5.64E+11,5.77E+11,5.65E+11,5.81E+11,5.92E+11,5.98E+11,6.09E+11,6.21E+11
TJK,Tajikistan,3843363540,4100868784,4387929677,4730188250,5103873020,5297820245,5642178580,6059699760,6514177191,6996226341,7464921080
TZA,Tanzania,21616251926,23383020791,24472803075,26544274428,28021886853,29530121807,31407908612,33890549127,35632866873,38220903385,40883040261
THA,Thailand,2.72E+11,2.84E+11,2.98E+11,3.14E+11,3.19E+11,3.17E+11,3.41E+11,3.44E+11,3.69E+11,3.79E+11,3.82E+11
TLS,Timor-Leste,593000000,630000000,594000000,662000000,756000000,854000000,943000000,1019000000,1078000000,1109000000,1174000000
TGO,Togo,2677447378,2709052153,2818834122,2883398218,2947567675,3051036045,3172945645,3327904820,3488321264,3626730618,3839682315
TON,Tonga,350248899.1,355790426.4,352900617.9,338199569.7,348665521.6,356684132.7,369435481.4,379751592.1,383129242,371151991.2,378815109.1
TTO,Trinidad and Tobago,17224244593,18293696733,20709938764,21694528593,22430064526,21445251800,22157948396,22092725493,22378600711,22972510518,22840206029
TUN,Tunisia,34090950398,35279543594,37129671720,39620931745,41299978413,42556922174,44050929160,43206394579,44933641959,46225373760,47530389828
TUR,Turkey,6.04E+11,6.58E+11,7.05E+11,7.40E+11,7.47E+11,7.11E+11,7.72E+11,8.58E+11,8.99E+11,9.75E+11,1.03E+12
TKM,Turkmenistan,12198334458,13789041601,15301298963,16993515438,19491562208,20680547525,22583157895,25902882089,28778101991,31713468423,34979955661
TUV,Tuvalu,30332202.59,29185727.24,29809991.95,31703094.83,34234035.6,32716491.68,31823518.62,34513663.73,34573875.63,35022709.4,35805770.23
UGA,Uganda,12887691241,13703812681,15181733849,16458885970,17892249514,19097649548,20179411063,22084132072,22935098164,23754849080,25001223021
UKR,Ukraine,1.26E+11,1.29E+11,1.39E+11,1.50E+11,1.53E+11,1.31E+11,1.36E+11,1.43E+11,1.44E+11,1.44E+11,1.34E+11
ARE,United Arab Emirates,2.45E+11,2.57E+11,2.83E+11,2.92E+11,3.01E+11,2.85E+11,2.90E+11,3.08E+11,3.24E+11,3.43E+11,3.54E+11
GBR,United Kingdom,2.32E+12,2.39E+12,2.45E+12,2.51E+12,2.49E+12,2.38E+12,2.43E+12,2.47E+12,2.50E+12,2.55E+12,2.62E+12
USA,United States,1.39E+13,1.44E+13,1.48E+13,1.51E+13,1.50E+13,1.46E+13,1.50E+13,1.52E+13,1.55E+13,1.58E+13,1.62E+13
UMC,Upper middle income,1.08E+13,1.16E+13,1.25E+13,1.36E+13,1.44E+13,1.47E+13,1.58E+13,1.68E+13,1.76E+13,1.85E+13,1.92E+13
URY,Uruguay,28063845214,30157445141,31393471361,33447078695,35847289448,37368467088,40284481662,42364020194,43862934936,45897095494,47383606591
UZB,Uzbekistan,24378547961,26085046320,27989254700,30766111720,33535061775,36251401778,39332770929,42597390916,46090376971,49777607129,53656538301
VUT,Vanuatu,521973121.1,549652584.8,596181554.8,627025086.6,667458933.2,689570618.2,700804286.2,709376703.2,721824490.4,736038269,753195366.8
VEN,"Venezuela, RB",2.97E+11,3.28E+11,3.60E+11,3.92E+11,4.12E+11,3.99E+11,3.93E+11,4.10E+11,4.33E+11,4.38E+11,2.55E+12
VNM,Vietnam,79362145321,85351803030,91307613277,97817393660,1.03E+11,1.09E+11,1.16E+11,1.23E+11,1.30E+11,1.37E+11,1.45E+11
VIR,Virgin Islands (U.S.),4084246168,4232596793,4386062957,4563060599,4606031125,4300121905,4339000000,3985004716,3386486678,3190049988,3159356755
PSE,West Bank and Gaza,6302630142,6983236165,6710848171,7153132898,7587992831,8245305385,8913100000,10019539737,10649191297,10885328831,10865529383
WLD,World,5.59E+13,5.81E+13,6.06E+13,6.31E+13,6.43E+13,6.32E+13,6.59E+13,6.80E+13,6.96E+13,7.15E+13,7.35E+13
YEM,"Yemen, Rep.",23678154701,25002177461,25794848835,26655991280,27628287079,28696460069,30906749533,26976988196,27622544883,28954923602,28900288489
ZMB,Zambia,12449702237,13350512768,14405696504,15608923120,16822344541,18373423318,20265556274,21393258427,23018636259,24183235705,25318838465
ZWE,Zimbabwe,11092878423,10459354836,10097304786,9728417220,8009508377,8707074504,10052045200,11693792187,13285220264,13985398475,14372132601
